Date,Clicks,Impressions,CTR,Position
2025-12-16,179,833,21.49%,3.4
2025-12-17,180,804,22.39%,3.6
2025-12-18,170,730,23.29%,3.5
2025-12-19,235,825,28.48%,5
2025-12-20,119,542,21.96%,5.6
2025-12-21,219,830,26.39%,5.7
2025-12-22,171,805,21.24%,5.4
2025-12-23,187,785,23.82%,4.7
2025-12-24,166,704,23.58%,4.7
2025-12-25,154,706,21.81%,5
2025-12-26,186,819,22.71%,4.8
2025-12-27,171,703,24.32%,5.3
2025-12-28,227,842,26.96%,4.8
2025-12-29,198,900,22%,5.2
2025-12-30,169,772,21.89%,4.7
2025-12-31,164,709,23.13%,4.7
2026-01-01,216,790,27.34%,4.7
2026-01-02,162,654,24.77%,4.9
2026-01-03,140,617,22.69%,5
2026-01-04,173,745,23.22%,4.8
2026-01-05,206,849,24.26%,4.8
2026-01-06,174,767,22.69%,4.9
2026-01-07,198,852,23.24%,4.2
2026-01-08,204,828,24.64%,4.6
2026-01-09,165,690,23.91%,4.7
2026-01-10,153,602,25.42%,5.1
2026-01-11,158,712,22.19%,4.9
2026-01-12,137,752,18.22%,5.3
2026-01-13,156,807,19.33%,4.8
2026-01-14,171,904,18.92%,5.1
2026-01-15,159,657,24.2%,4.7
2026-01-16,131,596,21.98%,5.4
2026-01-17,152,649,23.42%,5
2026-01-18,190,842,22.57%,4.8
2026-01-19,206,952,21.64%,5.3
2026-01-20,167,856,19.51%,5
2026-01-21,205,864,23.73%,4.6
2026-01-22,194,737,26.32%,4.9
2026-01-23,186,758,24.54%,4.6
2026-01-24,154,659,23.37%,4.9
2026-01-25,183,871,21.01%,4.7
2026-01-26,190,892,21.3%,5.1
2026-01-27,183,894,20.47%,4.7
2026-01-28,186,920,20.22%,4.6
2026-01-29,155,739,20.97%,4.9
2026-01-30,132,635,20.79%,5.9
2026-01-31,132,635,20.79%,5
2026-02-01,137,637,21.51%,5.5
2026-02-02,142,802,17.71%,5.6
2026-02-03,139,757,18.36%,5
2026-02-04,158,880,17.95%,4.8
2026-02-05,133,688,19.33%,5.6
2026-02-06,118,614,19.22%,5.1
2026-02-07,146,589,24.79%,3.6
2026-02-08,133,725,18.34%,4.7
2026-02-09,144,736,19.57%,6.1
2026-02-10,166,838,19.81%,5
2026-02-11,142,745,19.06%,5.3
2026-02-12,134,669,20.03%,5.5
2026-02-13,129,635,20.31%,4.9
2026-02-14,79,468,16.88%,6.8
2026-02-15,103,534,19.29%,5.3
2026-02-16,126,629,20.03%,5.8
2026-02-17,105,554,18.95%,6.4
2026-02-18,77,499,15.43%,7.3
2026-02-19,86,527,16.32%,6
2026-02-20,119,522,22.8%,6.1
2026-02-21,112,526,21.29%,5.5
2026-02-22,113,720,15.69%,5.4
2026-02-23,110,666,16.52%,6
